Country Name,Country Code,Series Name,Series Code,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Uruguay,URY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7453.06660958971,7514.58267665845,7874.42397763508,8322.21087541239,8772.55429720278,8875.41372143275,7976.3987522595,7125.0572968269,7011.48236418771,7080.00108604848,7663.58167679033,8229.87299178332,8302.57484462415,8344.46966462033,8320.3559048693,8565.26927800028,9193.55122074713,9388.10939080161,10019.3479243955,9822.89680356996,10316.2027570949,11138.8676127212,11584.9491858277,11357.0866859804,11096.3309569487,10643.5574019273,9806.7713064359,9878.75684344081,10366.9067382871,11131.3984890038,11574.470540231,12310.482735502,13165.83628166,13691.71420689,14722.3780081191,15443.9961926395,15949.3176985435,16639.4054750651,17122.0364563225,17125.9016800298,17357.2349992841,17611.6036701032,17608.9441195037,17758.4384372986,16443.3635000843,17416.0052208869,18228.3558443761,18378.9833563662,18958.6033293537,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
