COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M01,232.4955883,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M02,249.4825466,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M03,246.4891583,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M04,242.2920567,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M05,255.4710414,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M06,269.3579913,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M07,266.7567493,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M08,267.5189011,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M09,268.562456,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M10,268.5228636,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M11,273.9196109,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1983-M12,258.1897222,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M01,249.5822508,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M02,247.7799079,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M03,232.8471157,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M04,237.185716,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M05,237.9443596,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M06,246.5335816,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M07,253.8738163,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M08,261.2767455,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M09,269.6660953,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M10,266.5495652,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M11,256.4060227,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1984-M12,248.3346922,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M01,247.655313,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M02,238.5335468,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M03,228.7851046,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M04,228.7077114,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M05,244.1731296,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M06,252.7836327,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M07,238.3728903,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M08,221.3909517,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M09,218.736,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M10,207.4702583,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M11,199.6348179,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1985-M12,195.4037123,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M01,194.5210187,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M02,188.5465551,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M03,182.1864,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M04,177.1210172,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M05,169.7852745,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M06,166.1750586,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M07,160.7968721,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M08,154.777998,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M09,152.1592454,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M10,148.9179767,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M11,145.1904943,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1986-M12,141.819059,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M01,135.6734537,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M02,134.2415132,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M03,133.88962,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M04,130.4253553,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M05,131.5528229,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M06,135.5519963,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M07,136.6749748,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M08,135.0819905,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M09,130.9711525,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M10,131.0452044,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M11,126.0653701,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1987-M12,122.0669601,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M01,121.7052561,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M02,122.964349,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M03,122.1304857,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M04,122.0491453,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M05,123.4891751,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M06,127.0276417,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M07,132.3492924,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M08,137.2458256,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M09,136.9292935,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M10,135.4653875,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M11,132.4034454,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1988-M12,133.1268546,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M01,138.3134963,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M02,137.9717839,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M03,136.0340576,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M04,141.8424365,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M05,156.1455017,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M06,162.8096556,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M07,178.0297233,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M08,180.6362228,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M09,181.5165929,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M10,180.4474937,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M11,142.665666,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1989-M12,193.2299659,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M01,206.0762123,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M02,223.2998198,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M03,233.0773632,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M04,222.9469311,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M05,209.1542891,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M06,202.3344617,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M07,195.0065877,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M08,188.4711599,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M09,180.7039185,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M10,176.7211154,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M11,169.5766233,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1990-M12,167.338985,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M01,175.0033479,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M02,167.7827382,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M03,170.1535783,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M04,168.7638442,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M05,167.047232,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M06,166.9893197,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M07,163.5595448,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M08,158.9398834,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M09,154.5161797,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M10,155.5420134,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M11,153.1046403,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1991-M12,152.637924,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M01,152.4654307,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M02,154.9121079,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M03,156.0696986,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M04,154.3962904,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M05,152.1406188,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M06,150.7777059,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M07,148.1954315,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M08,148.3161625,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M09,150.3408569,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M10,155.2876382,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M11,162.7540002,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1992-M12,165.0541378,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M01,170.0019368,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M02,174.7075998,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M03,176.9422067,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M04,177.8046705,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M05,181.3313409,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M06,184.7008188,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M07,191.3522922,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M08,200.8659694,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M09,202.5606729,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M10,210.1791543,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M11,218.7847928,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1993-M12,225.7395937,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M01,237.4949514,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M02,246.7036722,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M03,249.9303538,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M04,260.6573275,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M05,269.0965362,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M06,277.8719966,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M07,272.9263111,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M08,264.3344257,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M09,243.757079,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M10,241.1287294,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M11,243.1344472,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1994-M12,244.2477422,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M01,235.2231097,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M02,233.556406,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M03,225.0481205,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M04,219.9388938,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M05,215.4773454,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M06,211.8984301,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M07,207.7362759,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M08,207.6955655,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M09,205.7545717,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M10,199.8057555,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M11,196.4171266,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1995-M12,194.204512,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M01,191.4650494,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M02,188.4517353,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M03,185.1612859,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M04,182.5199216,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M05,179.6099068,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M06,176.2069513,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M07,170.9444909,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M08,168.667665,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M09,168.2794397,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M10,166.6627497,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M11,164.4083302,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1996-M12,163.4810659,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M01,162.4357395,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M02,162.7841849,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M03,161.6869352,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M04,159.4500109,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M05,156.9573018,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M06,155.2381157,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M07,154.4989136,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M08,154.4330383,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M09,152.2847536,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M10,151.1974558,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M11,149.5909134,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1997-M12,152.0873602,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M01,151.5311779,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M02,151.4431345,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M03,150.1575962,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M04,149.0605874,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M05,147.8408348,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M06,147.7061822,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M07,146.5382211,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M08,145.4311172,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M09,141.2832238,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M10,141.1159624,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M11,141.667999,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1998-M12,140.51649,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1999-M01,144.5396283,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1999-M02,153.1680809,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1999-M03,152.2802079,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1999-M04,148.7512365,Units
